DEPT,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,SPDL,MRRS,HP01,HP02,HDP3,HDPT,HDP4,HDP5,HDP6,HVOL,AVOL,BIT
93.2,30.368107,683.59026,39.182969,0.486024,8.741895,-0.727083,1.693575,14.30127,48.939662,197.020458,0.160153,609754504.842667,3257891.06499,99569.021906,2e-06,1272.356662,0.496914,0.002655,0.13675,0.049069,12.25
93.3,30.314841,678.710938,37.65784,0.478374,8.741997,-0.738518,1.67835,14.173232,48.805491,196.822944,0.160111,667154588.722687,3582865.634675,109875.384844,3e-06,1410.062546,0.554943,0.00298,0.136754,0.049073,12.25
93.4,30.297553,678.710938,35.753395,0.465418,8.74215,-0.749779,1.665308,13.934554,48.893873,196.619422,0.159925,588754883.47644,3349271.599422,106736.731357,4e-06,1437.306407,0.617029,0.003513,0.136755,0.049073,12.25
93.5,30.237973,678.714462,34.554978,0.457782,8.742036,-0.759592,1.656612,13.876808,48.939015,196.501016,0.15962,273617540.454651,2344343.855453,98166.627858,2.2e-05,1859.653477,1.475891,0.012658,0.136747,0.049065,12.25
93.6,30.465906,683.586678,33.519918,0.456304,8.741645,-0.770159,1.646059,13.866152,49.479814,196.534415,0.159227,119348820.551575,1617569.667211,91963.889321,0.00018,2553.763828,4.03957,0.054994,0.136734,0.049053,12.25
93.7,30.22418,673.831672,33.341741,0.474434,8.741207,-0.780168,1.636329,13.985973,50.540499,196.56484,0.159028,35115409.148102,1005712.633448,94157.093499,0.006071,4877.589612,23.704218,0.682116,0.136728,0.049046,12.25
93.8,30.255289,678.718054,32.178793,0.499894,8.741228,-0.788447,1.626271,14.143252,52.412112,196.634804,0.158929,11087808.758106,669433.177066,103047.003415,0.226192,9940.680742,148.275954,9.062866,0.136734,0.049052,12.25
93.9,30.235017,688.469423,32.087456,0.523928,8.741609,-0.791456,1.624459,14.411159,53.986392,196.792876,0.159093,2225748.092257,360197.449058,106977.400174,22.046564,23459.073002,1529.603801,248.155069,0.136746,0.049064,12.25
94.0,30.410811,678.714518,32.38007,0.521261,8.741996,-0.792184,1.624969,14.614959,55.273376,197.041968,0.159231,709686.592539,217831.275509,99127.396337,404.051204,37055.664126,6309.588642,1940.542187,0.136755,0.049073,12.25
94.1,30.393727,683.590158,33.315932,0.500133,8.742183,-0.790094,1.632997,14.662675,55.761515,197.1758,0.159446,252682.466778,139820.361808,94239.772056,5955.066513,57552.516877,23689.682374,13108.603412,0.136757,0.049076,12.25
94.2,30.205093,678.714541,33.816983,0.461818,8.742159,-0.788479,1.640529,14.665829,56.064551,197.470548,0.159386,274888.573232,146318.669709,96110.493681,5075.92007,56838.639023,22084.082052,11759.785871,0.136762,0.04908,12.25
