DEPT,BS,CALI,GR,RESS,RESM,RESD,DENS,NEUT,PEF,DTC
65.075,12.25,,34.223,,,,,,,
65.227,12.25,,31.002,,,,,,,
65.38,12.25,,32.881,,,,,,,
65.532,12.25,,33.291,,,,,,,
65.684,12.25,,34.017,,,,,,,
65.837,12.25,,31.046,,,,,,,
65.989,12.25,,33.539,,,,,,,
66.142,12.25,,34.393,,,,,,,
66.294,12.25,,37.351,,,,,,,
66.446,12.25,,36.391,,,,,,,
66.599,12.25,,37.059,,,,,,,
66.751,12.25,,34.427,,,,,,,
66.904,12.25,,34.734,,,,,,,
67.056,12.25,,36.579,,,,,,,
67.208,12.25,,41.518,,,,,,,
67.361,12.25,,38.269,,,,,,,
67.513,12.25,,34.428,,,,,,,
67.666,12.25,,29.338,,,,,,,
67.818,12.25,,27.662,,,,,,,
67.97,12.25,,25.82,,,,,,,
68.123,12.25,,23.231,,,,,,,
68.275,12.25,,23.361,,,,,,,
68.428,12.25,,24.018,,,,,,,
68.58,12.25,,25.71,,,,,,,
68.732,12.25,,28.618,,,,,,,
68.885,12.25,,35.656,,,,,,,
69.037,12.25,,38.289,,,,,,,
69.19,12.25,,40.267,,,,,,,
69.342,12.25,,36.118,,,,,,,
69.494,12.25,,38.443,,,,,,,
69.647,12.25,,37.366,,,,,,,
69.799,12.25,,37.059,,,,,,,
69.952,12.25,,38.616,,,,,,,
70.104,12.25,,37.808,,,,,,,
70.256,12.25,,35.503,,,,,,,
70.409,12.25,,34.463,,,,,,,
70.561,12.25,,33.044,,,,,,,
70.714,12.25,,37.367,,,,,,,
70.866,12.25,,33.061,,,,,,,
71.018,12.25,,34.905,,,,,,,
71.171,12.25,,31.848,,,,,,,
71.323,12.25,,31.848,,,,,,,
71.476,12.25,,31.693,,,,,,,
71.628,12.25,,29.678,,,,,,,
71.78,12.25,,29.577,,,,,,,
71.933,12.25,,32.344,,,,,,,
72.085,12.25,,35.725,,,,,,,
72.238,12.25,,38.99,,,,,,,
72.39,12.25,,37.913,,,,,,,
72.542,12.25,,37.125,,,,,,,
72.695,12.25,,37.347,,,,,,,
72.847,12.25,,34.888,,,,,,,
73.0,12.25,,35.521,,,,,,,
73.152,12.25,,35.829,,,,,,,
73.304,12.25,,39.844,,,,,,,
73.457,12.25,,40.438,,,,,,,
73.609,12.25,,39.095,,,,,,,
73.762,12.25,,36.444,,,,,,,
73.914,12.25,,34.599,,,,,,,
74.066,12.25,,36.29,,,,,,,
74.219,12.25,,37.674,,,,,,,
74.371,12.25,,36.172,,,,,,,
74.524,12.25,,32.941,,,,,,,
74.676,12.25,,29.987,,,,,,,
74.828,12.25,,32.138,,,,,,,
74.981,12.25,,33.215,,,,,,,
75.133,12.25,,31.507,,,,,,,
75.286,12.25,,32.462,,,,,,,
75.438,12.25,,30.139,,,,,,,
75.59,12.25,,32.411,,,,,,,
75.743,12.25,,33.027,,,,,,,
75.895,12.25,,35.505,,,,,,,
76.048,12.25,,36.154,,,,,,,
76.2,12.25,,34.906,,,,,,,
76.352,12.25,,33.385,,,,,,,
76.505,12.25,,35.042,,,,,,,
76.657,12.25,,36.425,,,,,,,
76.81,12.25,,38.631,,,,,,,
76.962,12.25,,36.958,,,,,,,
77.114,12.25,,34.307,,,,,,,
77.267,12.25,,35.231,,,,,,,
77.419,12.25,,34.291,,,,,,,
77.572,12.25,,34.291,,,,,,,
77.724,12.25,,34.001,,,,,,,
77.876,12.25,,35.675,,,,,,,
78.029,12.25,,35.847,,,,,,,
78.181,12.25,,33.847,,,,,,,
78.334,12.25,,33.249,,,,,,,
78.486,12.25,,33.112,,,,,,,
78.638,12.25,,30.806,,,,,,,
78.791,12.25,,29.985,,,,,,,
78.943,12.25,,30.6,,,,,,,
79.096,12.25,,34.273,,,,,,,
79.248,12.25,,34.58,,,,,,,
