DEPT,TENS:1,TENS:2,DT_BHC,RLA5,RLA3,RSOZ,TNPH:1,CALI,BS,RLA4,RHOZ,PEFZ,RXO,GR:1,DTSM,RT,RLA1,NPHI,TNPH:2,GR:2,GR:3,DTCO,RLA2,RLA0,GR:4,RXOZ
801.472,2495.57,2462.0,118.25,26.726,14.044,0.0,0.33,8.705,8.5,20.092,2.268,2.845,1.499,92.438,,38.543,3.717,0.339,0.329,108.06,89.203,118.25,7.733,0.099,102.232,1.263
801.624,2555.466,2578.5,120.0,26.911,14.066,0.0,0.345,8.737,8.5,20.169,2.26,2.851,1.436,84.292,,38.569,3.625,0.339,0.345,105.447,86.0,120.0,7.746,0.098,112.722,1.253
801.776,2551.876,2538.001,120.0,26.586,13.917,0.0,0.339,8.777,8.5,19.877,2.268,2.836,1.446,81.373,,38.178,3.619,0.335,0.341,104.931,83.276,120.0,7.639,0.098,101.74,1.239
801.929,2516.667,2510.001,119.25,26.396,13.804,0.0,0.335,8.801,8.5,19.69,2.274,2.813,1.498,84.015,,38.06,3.672,0.324,0.336,100.659,89.014,119.25,7.621,0.097,99.507,1.276
802.081,2542.429,2562.5,118.416,26.858,14.074,0.0,0.328,8.849,8.5,20.064,2.277,2.806,1.567,101.748,,38.861,3.802,0.335,0.328,99.012,92.472,118.416,7.791,0.097,101.428,1.284
802.234,2576.875,2574.0,118.416,27.463,14.099,0.009,0.342,8.873,8.5,20.361,2.278,2.851,1.524,91.423,,39.639,3.723,0.342,0.341,98.648,96.973,118.416,7.777,0.096,96.044,1.257
802.386,2582.0,2596.5,116.75,28.182,14.044,0.015,0.34,8.873,8.5,20.692,2.278,2.902,1.441,97.267,,40.687,3.558,0.35,0.338,99.225,91.322,116.75,7.584,0.095,99.988,1.247
802.538,2519.533,2559.0,118.25,29.681,14.646,0.004,0.343,8.921,8.5,21.634,2.278,2.913,1.517,85.51,,42.941,3.714,0.35,0.343,96.528,93.286,118.25,7.878,0.096,101.851,1.266
802.691,2549.133,2560.0,117.041,30.161,14.81,0.0,0.341,8.889,8.5,21.911,2.277,2.866,1.559,97.43,,43.794,3.784,0.347,0.342,97.325,90.303,117.041,7.923,0.099,87.108,1.308
802.843,2547.787,2578.001,115.75,31.374,15.189,0.0,0.346,8.865,8.5,22.668,2.276,2.816,1.564,89.245,,45.593,3.811,0.336,0.348,95.449,92.716,115.75,8.028,0.1,102.171,1.293
802.996,2484.932,2513.667,116.666,32.264,15.487,0.0,0.342,8.68,8.5,23.19,2.28,2.819,1.553,91.706,,46.698,3.818,0.338,0.343,99.195,88.211,116.666,8.179,0.102,95.406,1.294
803.148,2470.666,2463.499,115.834,32.075,15.424,0.0,0.333,8.62,8.5,23.135,2.285,2.871,1.499,84.046,,46.309,3.741,0.322,0.333,101.059,87.443,115.834,8.094,0.103,100.84,1.302
803.3,2521.644,2535.501,115.75,32.85,15.876,0.0,0.308,8.608,8.5,23.709,2.295,2.923,1.451,86.516,,47.191,3.719,0.319,0.308,98.771,88.087,115.75,8.179,0.105,107.125,1.35
803.453,2517.134,2529.501,115.0,33.863,16.332,0.0,0.302,8.6,8.5,24.538,2.302,2.947,1.471,94.183,,48.747,3.794,0.317,0.302,99.765,91.658,115.0,8.345,0.106,88.45,1.394
803.605,2477.467,2457.333,115.0,34.19,16.45,0.006,0.31,8.56,8.5,24.883,2.303,2.924,1.502,94.835,,49.264,3.856,0.33,0.311,97.834,101.022,115.0,8.527,0.107,102.775,1.395
803.758,2540.399,2553.333,115.0,34.043,16.282,0.012,0.329,8.512,8.5,24.868,2.289,2.908,1.552,114.592,,49.341,3.913,0.313,0.33,100.369,101.65,115.0,8.545,0.108,100.627,1.336
803.91,2580.267,2574.334,115.75,34.741,16.368,0.001,0.313,8.488,8.5,25.336,2.28,2.886,1.546,96.023,,50.568,3.897,0.291,0.314,101.829,99.333,115.75,8.481,0.108,96.16,1.306
804.062,2547.267,2519.668,115.0,35.251,16.616,0.0,0.295,8.476,8.5,25.688,2.276,2.868,1.556,87.911,,51.43,3.931,0.294,0.296,101.891,87.413,115.0,8.48,0.108,107.626,1.317
804.215,2538.866,2539.334,115.75,34.982,16.581,0.0,0.297,8.48,8.5,25.456,2.282,2.846,1.549,78.65,,50.956,3.925,0.315,0.298,102.136,86.169,115.75,8.435,0.108,102.491,1.346
804.367,2527.333,2500.334,115.75,33.499,16.182,0.0,0.315,8.464,8.5,24.519,2.287,2.823,1.508,91.921,,48.608,3.848,0.337,0.314,96.494,87.532,115.75,8.286,0.108,97.275,1.335
804.52,2479.132,2446.668,115.834,29.758,15.023,0.0,0.335,8.432,8.5,22.061,2.293,2.83,1.451,91.955,,42.753,3.708,0.327,0.335,90.92,85.184,115.834,8.026,0.108,90.73,1.326
